Plot,Canola.Genotype,Week,DAS,Phenotypic.Stage,Block,GWC,pH,Phosphorus,Ammonium.N,Nitrate.N,Sulphur,Mineralization.N,Nitrification.N,Root.Length,Root.Surface.Area,Root.Diameter,Seed.Yield,Seed.N,NUEcrop,PFP,TSW,OilEx,Protein
1105,NAM-32,3,37,6-9 Leaf Stage,1,17.64705882,4.96,50.53858308,3.560591494,11.92047546,10.27118644,16.85,0.063899756,237.1511,80.0119,1.0739,1832.247918,79.11159556,2.846027498,65.91483739,5.04,39.17,29.32
1111,NAM-17,3,37,6-9 Leaf Stage,1,17.08029197,5.14,49.77517193,1.196481808,14.71571521,9.418453865,22.75,2.0694706,169.591,39.0841,0.7336,1681.95109,63.55008236,2.286204451,60.50793209,3.50,45.41,25.09
1111,NAM-17,3,37,6-9 Leaf Stage,1,17.15542522,5.14,49.77517193,1.196481808,14.71571521,9.418453865,22.75,2.0694706,169.591,39.0841,0.7336,1681.95109,63.55008236,2.286204451,60.50793209,3.50,45.41,25.09
1117,NAM-72,3,37,6-9 Leaf Stage,1,15.25179856,4.75,61.06267393,1.868133117,7.663606309,6.512692882,12.41,0.164999789,379.3688,75.8043,0.636,1763.468013,64.36855033,2.31564871,63.44049089,4.08,45.43,25.26
1119,NAM-94,3,37,6-9 Leaf Stage,1,14.32664756,4.6,53.7054709,2.162689034,9.632710652,7.291063405,12.55,0.062990037,273.9891,62.5644,0.7268,2013.445862,80.53634363,2.897282591,72.4334056,3.87,47.29,24.86
1127,NAM-37,3,37,6-9 Leaf Stage,1,16.6180758,4.76,55.35632914,1.623853904,19.37805503,7.242,9.85,0.212053928,421.9763,53.8919,0.4065,2661.92628,109.700606,3.946462448,95.76238903,4.27,40.91,28.52
1131,NAM-13,3,37,6-9 Leaf Stage,1,15.58441558,4.79,67.56578433,2.158350923,16.25719825,12.60939061,25.46,-0.018382105,169.3872,49.6627,0.9333,2378.278398,84.22934564,3.030137771,85.55820004,3.90,46.56,24.06
1146,NAM-0,3,37,6-9 Leaf Stage,1,15.48480463,4.73,59.99185607,1.784186391,10.38678662,12.15592204,13.41,0.062970465,308.2179,69.4384,0.7171,2373.51586,102.3991595,3.683794032,85.38686847,3.54,47.52,25.46
1156,NAM-43,3,37,6-9 Leaf Stage,1,14.92109039,4.92,69.02493341,2.288058604,10.07331623,5.85322017,21.06,0.066074794,344.78,65.1674,0.6016,1532.318802,71.03814498,2.555586353,55.12493352,4.68,40.02,28.98
1202,NAM-0,3,37,6-9 Leaf Stage,2,17.35294118,4.64,47.80293785,3.308174924,8.488437562,13.09545227,21.3,-0.407631513,441.6819,76.8386,0.5538,2060.185185,88.76014638,3.193132631,74.11484557,3.49,46.26,26.34
1212,NAM-13,3,37,6-9 Leaf Stage,2,14.63414634,4.87,52.75524599,2.005757533,10.75309055,6.058970515,15.5,-0.157221539,576.3946,88.026,0.4861,2214.912281,79.23582585,2.850496663,79.68112906,3.84,48.14,22.16
1213,NAM-43,3,37,6-9 Leaf Stage,2,18.23529412,5.07,31.53585008,2.069235759,7.207431787,5.461077844,7.59,0.298374596,398.9884,69.8946,0.5576,1302.166401,56.54523967,2.034206311,46.84523624,4.44,42.25,27.17
1213,NAM-43,3,37,6-9 Leaf Stage,2,18.23529412,5.07,31.53585008,2.069235759,7.207431787,5.461077844,7.59,0.298374596,398.9884,69.8946,0.5576,1302.166401,56.54523967,2.034206311,46.84523624,4.44,42.25,27.17
1216,NAM-94,3,37,6-9 Leaf Stage,2,15.37356322,4.89,45.37494471,1.705337258,5.767619837,6.518962076,13.78,0.459526155,154.1245,45.8377,0.9467,2115.342017,84.02064895,3.022629939,76.09910411,3.84,47.42,24.30
