Plot,CanolaLine,Week,DAS,Phenotypic Stage,Block,GWC,pH,Ammonium.N,Nitrate.N,Mineralization.N,Nitrification.N,Root.Length,Root.Surface.Area,Root.Diameter,Yield (kg/ha),Seed N (kg/ha),NUEcrop,PFP,TSW,OilEx,Protein
1101,NAM-32,1,40,6-8 Leaf Stage,1,0.252336449,5.21,10.06516031,12.10520957,5.93,1.067236636,653.0467,72.0683,0.3513,2641.929499,93.23894016,2.330973504,66.04823748,4.5,46.01,22.95
1102,NAM-0,1,40,6-8 Leaf Stage,1,0.230414747,5.09,15.16159333,18.28750977,7.23,1.976722954,300.8907,46.7027,0.4941,2864.564007,99.29474834,2.482368708,71.61410019,3.19,49.58,22.5
1105,NAM-13,1,40,6-8 Leaf Stage,1,0.24068323,5.03,7.780691762,9.904968107,3.15,0.959445438,275.8698,48.785,0.5629,3187.384045,107.1460048,2.678650121,79.68460111,3.67,49.16,21.4
1107,NAM-17,1,40,6-8 Leaf Stage,1,0.247663551,5.03,10.93546071,8.119114615,8.49,1.18443446,303.8371,40.3636,0.4229,2558.441558,97.39725108,2.434931277,63.96103896,3.4,47.95,22.4
1108,YN04-C1213,1,40,6-8 Leaf Stage,1,0.255485893,5.08,8.509599352,18.92947148,10.47,0.580147173,214.1329,42.422,0.6306,3274.58256,116.5930748,2.914826869,81.86456401,3.56,49,22.07
1111,NAM-37,1,40,6-8 Leaf Stage,1,0.210925645,5.02,11.8769445,10.92026662,8.9,1.427183692,131.7994,36.8738,0.8905,2519.480519,97.18629147,2.429657287,62.98701299,3.76,45.77,24.53
1203,NAM-17,1,40,6-8 Leaf Stage,2,0.230769231,5.08,8.289511452,19.80471354,7.27,1.405238228,160.0948,36.8091,0.7319,2489.795918,93.54541948,2.338635487,62.24489796,4.14,44.06,25.77
1205,NAM-32,1,40,6-8 Leaf Stage,2,0.233846154,4.99,23.39472101,12.23452563,6.26,0.014997773,234.014,41.4378,0.5636,2656.7718,111.2481076,2.781202691,66.41929499,3.48,51.64,20.76
1208,NAM-37,1,40,6-8 Leaf Stage,2,0.257456829,5.04,16.32349852,7.828275203,7.62,NA,598.045,85.1036,0.453,1332.096475,48.86944177,1.221736044,33.30241187,3.82,44.32,26.95
1209,NAM-13,1,40,6-8 Leaf Stage,2,0.264984227,5.03,8.530108507,11.02096585,9.86,1.440431294,375.5387,73.2303,0.6207,3207.792208,110.9873757,2.774684392,80.19480519,3.57,47.67,22.13
1212,NAM-0,1,40,6-8 Leaf Stage,2,0.238021638,5.08,12.2031694,10.97970257,12.6,NA,234.8003,32.214,0.4367,2849.721707,106.0394975,2.650987438,71.24304267,3.15,49.25,23.3
1215,YN04-C1213,1,40,6-8 Leaf Stage,2,0.261417323,5.02,9.18753519,9.256479964,19.64,NA,442.6145,67.7398,0.4872,3486.085343,125.3518313,3.133795783,87.15213358,3.64,49.44,21.97
1301,NAM-0,1,40,6-8 Leaf Stage,3,0.2484375,5.17,12.86534297,11.80082814,11.77,0.299320442,202.1287,28.7938,0.4534,2890.538033,102.0490031,2.551225078,72.26345083,3.19,49.2,23.28
1306,NAM-17,1,40,6-8 Leaf Stage,3,0.246105919,5.03,30.61915815,18.40745663,9.24,1.489767587,151.727,29.5034,0.619,2272.727273,87.424865,2.185621625,56.81818182,3.96,44.36,25.26
1309,NAM-13,1,40,6-8 Leaf Stage,3,0.2816,5.22,9.076130369,12.92747928,15.58,NA,422.5423,71.2434,0.5367,1686.456401,60.5609997,1.514024992,42.16141002,3.96,44.56,27.24
1313,YN04-C1213,1,40,6-8 Leaf Stage,3,0.23993808,5.01,15.4636306,15.52824503,14.66,NA,479.646,64.8632,0.4305,3732.83859,140.232073,3.505801825,93.32096475,3.43,50.06,22.31
1316,NAM-37,1,40,6-8 Leaf Stage,3,0.23757764,4.99,8.917736225,11.60731266,9.89,1.75225277,600.6534,84.2124,0.4463,2940.630798,111.849282,2.796232049,73.51576994,3.14,46.84,22.57
1101,NAM-32,2,61,End of Flowering,1,0.275477707,5.09,5.145159744,10.23855106,21.49,1.190971808,570.8039,81.7778,0.456,2641.929499,93.23894016,2.330973504,66.04823748,4.5,46.01,22.95
1102,NAM-0,2,61,End of Flowering,1,0.307189542,5.03,4.779273447,8.040336647,14.43,1.117699517,854.695,105.0626,0.3913,2864.564007,99.29474834,2.482368708,71.61410019,3.19,49.58,22.5
1105,NAM-13,2,61,End of Flowering,1,0.308823529,4.96,3.963787272,8.860599172,23.27,0.921745348,781.7,98.5479,0.4013,3187.384045,107.1460048,2.678650121,79.68460111,3.67,49.16,21.4
1107,NAM-17,2,61,End of Flowering,1,0.315789474,5.06,7.024287962,12.39252972,19.31,0.289873686,402.8397,58.2431,0.4602,2558.441558,97.39725108,2.434931277,63.96103896,3.4,47.95,22.4
